0.000821229 	 342272
0.000912338 	 379312
0.00100512 	 361356
0.00109379 	 351502
0.00118275 	 362619
0.00127528 	 368019
0.00136511 	 364797
0.00145834 	 364065
0.00154614 	 347972
0.00163792 	 387439
0.00173778 	 403806
0.00182675 	 279177
0.0018647 	 21950.7
0.00183905 	 -204421
0.00177394 	 -300650
0.00169093 	 -360567
0.00159148 	 -444176
0.00147285 	 -491486
0.0013541 	 -452378
0.00124051 	 -459459
0.00112283 	 -481295
0.00100218 	 -481869
0.000881496 	 -481446
0.00076023 	 -491876
0.000638584 	 -472380
0.000523702 	 -458969
0.000408875 	 -451340
0.000297255 	 -446888
0.000190448 	 -389020
0.000116747 	 -177603
0.00011052 	 125885
0.000174673 	 350575
0.000271673 	 403059
0.000375657 	 438608
0.00048943 	 465465
0.000603505 	 445109
0.000714012 	 441243
0.000826744 	 461304
0.000944775 	 486741
0.00106854 	 497302
0.00119246 	 497157
0.00131907 	 518977
0.00145219 	 534985
0.00158189 	 499300
0.00170049 	 456143
0.0018087 	 396772
0.00188926 	 224663
0.00191005 	 -59907.8
0.00186056 	 -312527
0.00176078 	 -462161
0.00163823 	 -502205
0.00150962 	 -524451
0.0013748 	 -556941
0.00123483 	 -558346
0.00109685 	 -549732
0.000960746 	 -534739
0.000830279 	 -510861
0.000703092 	 -513343
0.000572418 	 -526855
0.000441351 	 -518581
0.000314232 	 -487171
0.000204673 	 -381810
0.000128208 	 -222491
9.78871e-05 	 -23929.1
0.00011644 	 166445
0.000179557 	 327876
0.000278241 	 450721
0.000399751 	 508602
0.000529293 	 533684
0.000666704 	 558255
0.000804822 	 544229
0.00093978 	 544451
0.00107755 	 551991
0.00121309 	 533352
0.00134836 	 551123
0.0014868 	 547777
0.00161942 	 508856
0.00173982 	 446468
0.00183952 	 346019
0.00190724 	 189597
0.00192745 	 -32114.3
0.0018911 	 -247493
0.00180923 	 -387657
0.00170118 	 -465996
0.0015793 	 -514767
0.00144529 	 -552129
0.00130723 	 -550121
0.00117081 	 -545048
0.00103357 	 -550782
0.000896972 	 -533435
0.000765557 	 -523685
0.000634595 	 -519006
0.000509528 	 -477170
0.00039487 	 -445621
0.000288317 	 -400398
0.000198038 	 -315161
0.000135334 	 -184700
0.000108725 	 -27518.7
0.00012141 	 118659
0.000166027 	 230544
0.000235685 	 325382
0.000327592 	 404781
0.000436071 	 454042
0.000552915 	 478046
0.000674719 	 491366
0.000797274 	 488843
0.000917197 	 469271
0.00103517 	 480757
0.0011584 	 497936
0.00128155 	 487331
0.00140161 	 471849
0.00151455 	 429952
